date,product_type,product_name,unit,min_price,max_price,average_price,year,month,season
2014-02-14,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-17,SEBZE,BIBER SIVRI,KG,1.0,2.8,1.9,2014,2,Winter
2014-02-17,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-17,SEBZE,PATLICAN UZUN,KG,1.5,2.8,2.15,2014,2,Winter
2014-02-17,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-17,SEBZE,DOMATES SALKIM,KG,1.0,2.8,1.9,2014,2,Winter
2014-02-17,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-18,SEBZE,BIBER SIVRI,KG,1.0,2.6,1.8,2014,2,Winter
2014-02-18,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-18,SEBZE,PATLICAN UZUN,KG,1.5,2.8,2.15,2014,2,Winter
2014-02-18,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-18,SEBZE,DOMATES SALKIM,KG,1.0,2.5,1.75,2014,2,Winter
2014-02-18,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-19,SEBZE,DOMATES SALKIM,KG,1.0,2.5,1.75,2014,2,Winter
2014-02-19,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-19,SEBZE,BIBER SIVRI,KG,1.0,3.0,2.0,2014,2,Winter
2014-02-19,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-19,SEBZE,PATLICAN UZUN,KG,1.0,2.5,1.75,2014,2,Winter
2014-02-19,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-20,SEBZE,DOMATES SALKIM,KG,1.0,2.5,1.75,2014,2,Winter
2014-02-20,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-20,SEBZE,BIBER SIVRI,KG,1.0,3.0,2.0,2014,2,Winter
2014-02-20,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-20,SEBZE,PATLICAN UZUN,KG,1.0,2.5,1.75,2014,2,Winter
2014-02-20,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,2,Winter
2014-02-21,SEBZE,BIBER SIVRI,KG,1.0,3.0,2.0,2014,2,Winter
2014-02-21,SEBZE,KABAK TAZE,KG,0.8,1.8,1.3,2014,2,Winter
2014-02-21,SEBZE,PATLICAN UZUN,KG,1.0,2.4,1.7,2014,2,Winter
2014-02-21,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,2,Winter
2014-02-21,SEBZE,DOMATES SALKIM,KG,1.0,2.6,1.8,2014,2,Winter
2014-02-21,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-24,SEBZE,BIBER SIVRI,KG,1.0,3.3,2.15,2014,2,Winter
2014-02-24,SEBZE,KABAK TAZE,KG,0.8,1.8,1.3,2014,2,Winter
2014-02-24,SEBZE,PATLICAN UZUN,KG,1.0,2.7,1.85,2014,2,Winter
2014-02-24,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,2,Winter
2014-02-24,SEBZE,DOMATES SALKIM,KG,1.0,3.0,2.0,2014,2,Winter
2014-02-24,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
