BULTEN_TARIHI,MAL_TIPI,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
12/22/2025,SEBZE,ARMUT  S.MARIA,KG,50,110.0,80.0
12/22/2025,SEBZE,AYVA,KG,70,150.0,110.0
12/22/2025,SEBZE,CILEK,KG,140,170.0,155.0
12/22/2025,SEBZE,ELMA  GOLDEN,KG,40,70.0,55.0
12/22/2025,SEBZE,ELMA GSMİT,KG,40,100.0,70.0
12/22/2025,SEBZE,GREYFURT,KG,20,40.0,30.0
12/22/2025,SEBZE,KIVI  ,KG,80,120.0,100.0
12/22/2025,SEBZE,LİMON DİĞER ,KG,50,100.0,75.0
12/22/2025,SEBZE,MANDALİNA,KG,15,28.0,21.5
12/22/2025,SEBZE,NAR,KG,50,80.0,65.0
12/22/2025,SEBZE,ÜZÜM  BEYAZ,KG,60,90.0,75.0
12/22/2025,SEBZE,ANANAS,ADET,70,110.0,90.0
12/22/2025,SEBZE,HINDISTAN CEVIZI,ADET,50,100.0,75.0
12/22/2025,SEBZE,MUZ  ITHAL,KG,70,90.0,80.0
12/22/2025,SEBZE,BİBER ÇARLİSTON,KG,15,30.0,22.5
12/22/2025,SEBZE,BİBER KÖY(MAZO),KG,20,40.0,30.0
12/22/2025,SEBZE,CİBEZ,KG,40,70.0,55.0
12/22/2025,SEBZE,DOMATES  BEEF,KG,50,70.0,60.0
12/22/2025,SEBZE,DOMATES (KOKTEYL),KG,35,50.0,42.5
12/22/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,25,65.0,45.0
12/22/2025,SEBZE,FASULYE   AYSE,KG,80,150.0,115.0
12/22/2025,SEBZE,HAVUÇ,KG,10,20.0,15.0
12/22/2025,SEBZE,ISPANAK,KG,15,20.0,17.5
12/22/2025,SEBZE,KABAK TAZE,KG,25,45.0,35.0
12/22/2025,SEBZE,KARPUZ,KG,10,25.0,17.5
12/22/2025,SEBZE,KEREVIZ,KG,20,30.0,25.0
12/22/2025,SEBZE,LAHANA  KIRMIZI,KG,10,15.0,12.5
12/22/2025,SEBZE,MARUL,ADET,10,15.0,12.5
12/22/2025,SEBZE,MARUL KIVIRCIK,ADET,10,20.0,15.0
12/22/2025,SEBZE,PANCAR,KG,15,20.0,17.5
12/22/2025,SEBZE,PATATES DİĞER,KG,4,13.0,8.5
12/22/2025,SEBZE,PATLICAN TOPAN,KG,25,45.0,35.0
12/22/2025,SEBZE,PIRASA,KG,15,30.0,22.5
