,product_name,year,district,planted_area,production_amount
236,KABAK TAZE,2017,İzmir(Menderes),390,780
237,KABAK TAZE,2017,İzmir(Tire),400,1000
238,KABAK TAZE,2017,İzmir(Torbalı),405,1418
239,KABAK TAZE,2017,İzmir(Ödemiş),220,722
240,KABAK TAZE,2018,İzmir(Bayındır),800,2800
241,KABAK TAZE,2018,İzmir(Bergama),400,680
242,KABAK TAZE,2018,İzmir(Menderes),390,780
243,KABAK TAZE,2018,İzmir(Tire),300,750
244,KABAK TAZE,2018,İzmir(Torbalı),265,927
245,KABAK TAZE,2018,İzmir(Ödemiş),155,502
246,KABAK TAZE,2019,İzmir(Bayındır),600,2100
247,KABAK TAZE,2019,İzmir(Bergama),400,680
248,KABAK TAZE,2019,İzmir(Menderes),390,780
249,KABAK TAZE,2019,İzmir(Tire),300,750
250,KABAK TAZE,2019,İzmir(Torbalı),250,875
251,KABAK TAZE,2019,İzmir(Ödemiş),110,375
252,KABAK TAZE,2020,İzmir(Bayındır),200,311
253,KABAK TAZE,2020,İzmir(Bergama),400,705
254,KABAK TAZE,2020,İzmir(Menderes),390,809
255,KABAK TAZE,2020,İzmir(Tire),68,176
256,KABAK TAZE,2020,İzmir(Torbalı),180,607
257,KABAK TAZE,2020,İzmir(Ödemiş),80,415
258,KABAK TAZE,2021,İzmir(Bayındır),200,300
259,KABAK TAZE,2021,İzmir(Bergama),17,30
260,KABAK TAZE,2021,İzmir(Menderes),380,760
261,KABAK TAZE,2021,İzmir(Tire),42,109
262,KABAK TAZE,2021,İzmir(Torbalı),185,555
263,KABAK TAZE,2021,İzmir(Ödemiş),25,125
264,KABAK TAZE,2022,İzmir(Bayındır),200,500
265,KABAK TAZE,2022,İzmir(Bergama),13,23
266,KABAK TAZE,2022,İzmir(Menderes),380,760
267,KABAK TAZE,2022,İzmir(Tire),,
268,KABAK TAZE,2022,İzmir(Torbalı),135,439
269,KABAK TAZE,2022,İzmir(Ödemiş),25,125
270,KABAK TAZE,2023,İzmir(Bayındır),150,375
271,KABAK TAZE,2023,İzmir(Bergama),11,20
272,KABAK TAZE,2023,İzmir(Menderes),380,760
273,KABAK TAZE,2023,İzmir(Tire),,
274,KABAK TAZE,2023,İzmir(Torbalı),110,330
275,KABAK TAZE,2023,İzmir(Ödemiş),,
276,KABAK TAZE,2024,İzmir(Bayındır),150,375
277,KABAK TAZE,2024,İzmir(Bergama),162,287
278,KABAK TAZE,2024,İzmir(Menderes),380,760
