,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
180,01/03/2024,İTHAL,MANGO,adet,10.0,50.0,30.0
181,01/03/2024,MEYVE,ARMUT  DEVECI,kg,10.0,40.0,25.0
182,01/03/2024,SEBZE,MARUL LOLOROSSO,adet,5.0,30.0,17.5
183,01/03/2024,SEBZE,BİBER CİN,kg,4.0,50.0,27.0
184,01/03/2024,SEBZE,DOMATES CHERRY,kg,8.0,40.0,24.0
185,01/03/2024,SEBZE,TURP  FINDIK,adet,5.0,12.0,8.5
186,01/03/2024,SEBZE,DOMATES  BEEF,kg,10.0,35.0,22.5
187,01/03/2024,MEYVE,KIVI  ,kg,10.0,55.0,32.5
188,01/03/2024,İTHAL,ZENCEFİL,kg,60.0,200.0,130.0
189,01/03/2024,İTHAL,BİBER KALİFORNİYA,kg,30.0,65.0,47.5
190,01/03/2024,MEYVE,ÜZÜM  RED GLOBE,kg,10.0,60.0,35.0
191,01/03/2024,MEYVE,ELMA GSMİT,kg,10.0,33.0,21.5
192,01/03/2024,İTHAL,ELMA STARKING(İTHAL),kg,10.0,50.0,30.0
193,01/03/2024,SEBZE,SALATALIK  SİLOR,kg,8.0,32.0,20.0
194,01/03/2024,MEYVE,HÜNNAP,kg,11.0,40.0,25.5
195,01/03/2024,MEYVE,ELMA  ARJANTİN,kg,10.0,32.0,21.0
196,01/03/2024,İTHAL,SARIMSAK  İTHAL,kg,20.0,140.0,80.0
197,01/03/2024,MEYVE,PORTAKAL WASHINGTON,kg,7.0,18.0,12.5
198,01/03/2024,MEYVE,ÜZÜM  BEYAZ,kg,10.0,75.0,42.5
199,01/03/2024,SEBZE,BİBER  MEKSİKA,kg,8.0,45.0,26.5
200,01/03/2024,MEYVE,ÜZÜM  SİYAH,kg,23.0,60.0,41.5
201,01/03/2024,SEBZE,ALABAŞ,kg,4.0,15.0,9.5
202,01/03/2024,MEYVE,MANDALİNA SATSUMA,kg,5.0,17.0,11.0
203,01/03/2024,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,10.0,30.0,20.0
204,01/03/2024,SEBZE,DOMATES PEMBE,kg,10.0,45.0,27.5
205,01/03/2024,SEBZE,HAVUÇ(TAKOZ),kg,5.0,26.0,15.5
206,01/03/2024,MEYVE,LİMON LAMAS,kg,6.0,17.0,11.5
207,01/03/2024,SEBZE,PATATES TAZE,kg,5.0,20.0,12.5
208,01/03/2024,SEBZE,MANTAR (İSTİRİDYE),kg,30.0,100.0,65.0
209,01/03/2024,SEBZE,BİBER KÖY(MAZO),kg,10.0,50.0,30.0
210,01/03/2024,SEBZE,LAHANA KARA,kg,10.0,18.0,14.0
211,01/03/2024,MEYVE,ELMA FUJİ,kg,9.0,30.0,19.5
212,01/03/2024,MEYVE,AYVA,kg,8.0,30.0,19.0
213,01/03/2024,MEYVE,ARMUT  S.MARIA,kg,10.0,50.0,30.0
214,01/03/2024,MEYVE,CILEK,kg,50.0,95.0,72.5
215,01/03/2024,MEYVE,ELMA  AMASYA,kg,10.0,32.0,21.0
216,01/03/2024,MEYVE,ELMA  STARKING,kg,15.0,30.0,22.5
217,01/03/2024,MEYVE,GREYFURT,kg,5.0,15.0,10.0
218,01/03/2024,SEBZE,KAVUN DİĞER,kg,5.0,45.0,25.0
219,01/03/2024,SEBZE,KARPUZ,kg,3.0,27.0,15.0
220,01/04/2024,SEBZE,FASULYE   AYSE,kg,10.0,80.0,45.0
221,01/04/2024,SEBZE,FASULYE   CALI,kg,10.0,50.0,30.0
222,01/04/2024,SEBZE,BARBUNYA TAZE,kg,20.0,50.0,35.0
223,01/04/2024,SEBZE,HAVUÇ,kg,5.0,14.0,9.5
224,01/04/2024,SEBZE,ISPANAK,kg,5.0,32.0,18.5
225,01/04/2024,SEBZE,KABAK TAZE,kg,10.0,35.0,22.5
226,01/04/2024,SEBZE,KABAK  BAL,kg,5.0,20.0,12.5
227,01/04/2024,SEBZE,KEREVIZ,kg,10.0,21.0,15.5
228,01/04/2024,SEBZE,MARUL,adet,5.0,20.0,12.5
229,01/04/2024,SEBZE,PATLICAN  UZUN,kg,8.0,30.0,19.0
230,01/04/2024,SEBZE,PATLICAN TOPAN,kg,8.0,35.0,21.5
231,01/04/2024,SEBZE,PANCAR,kg,5.0,20.0,12.5
232,01/04/2024,SEBZE,SOĞAN   TAZE,kg,10.0,45.0,27.5
233,01/04/2024,SEBZE,SOĞAN   KURU,kg,4.0,15.0,9.5
234,01/04/2024,SEBZE,LAHANA  KIRMIZI,kg,8.0,25.0,16.5
235,01/04/2024,SEBZE,KARNABAHAR,kg,5.0,30.0,17.5
236,01/04/2024,SEBZE,TURP  KIRMIZI,kg,4.0,25.0,14.5
237,01/04/2024,SEBZE,SEMIZ OTU,adet,8.0,15.0,11.5
238,01/04/2024,SEBZE,YAPRAK  SALAMURA,kg,10.0,50.0,30.0
239,01/04/2024,SEBZE,SARIMSAK  KURU,kg,15.0,100.0,57.5
240,01/04/2024,SEBZE,PATATES  CALMA,kg,5.0,23.0,14.0
241,01/04/2024,SEBZE,BİBER ÇARLİSTON,kg,10.0,35.0,22.5
242,01/04/2024,SEBZE,MARUL AYSBERG,adet,5.0,30.0,17.5
243,01/04/2024,SEBZE,MANTAR,kg,15.0,40.0,27.5
244,01/04/2024,SEBZE,SOĞAN   KIRMIZI,kg,10.0,30.0,20.0
245,01/04/2024,SEBZE,BİBER KIRMIZI,kg,13.0,38.0,25.5
246,01/04/2024,SEBZE,LAHANA  BEYAZ,kg,5.0,17.0,11.0
247,01/04/2024,SEBZE,PIRASA,kg,4.0,15.0,9.5
248,01/04/2024,SEBZE,PAZI,adet,4.0,24.0,14.0
249,01/04/2024,SEBZE,BİBER  KIL ACI,kg,10.0,60.0,35.0
250,01/04/2024,SEBZE,LAHANA  BURUKSEL,kg,10.0,50.0,30.0
251,01/04/2024,SEBZE,DOMATES (DİĞER),kg,7.0,40.0,23.5
252,01/04/2024,SEBZE,SALATALIK ,kg,8.0,40.0,24.0
253,01/04/2024,SEBZE,DOMATES  SALKIM,kg,12.0,38.0,25.0
254,01/04/2024,SEBZE,TURP  SIYAH,kg,3.0,20.0,11.5
255,01/04/2024,MEYVE,AYVA,kg,8.0,34.0,21.0
256,01/04/2024,MEYVE,ARMUT  S.MARIA,kg,10.0,42.0,26.0
257,01/04/2024,MEYVE,CILEK,kg,50.0,110.0,80.0
258,01/04/2024,MEYVE,ELMA  AMASYA,kg,10.0,32.0,21.0
259,01/04/2024,MEYVE,ELMA  STARKING,kg,15.0,31.0,23.0
260,01/04/2024,MEYVE,GREYFURT,kg,5.0,15.0,10.0
261,01/04/2024,SEBZE,KAVUN DİĞER,kg,5.0,45.0,25.0
262,01/04/2024,SEBZE,KARPUZ,kg,3.0,25.0,14.0
263,01/04/2024,MEYVE,NAR,kg,10.0,35.0,22.5
264,01/04/2024,MEYVE,KESTANE,kg,90.0,180.0,135.0
265,01/04/2024,MEYVE,MANDALİNA,kg,5.0,32.0,18.5
266,01/04/2024,SEBZE,MARUL KIVIRCIK,adet,5.0,30.0,17.5
267,01/04/2024,SEBZE,YERELMASI,kg,5.0,17.0,11.0
268,01/04/2024,SEBZE,DENIZ BÖRÜLCESİ,adet,4.0,30.0,17.0
269,01/04/2024,İTHAL,MANGO,adet,10.0,50.0,30.0
270,01/04/2024,MEYVE,ARMUT  DEVECI,kg,10.0,40.0,25.0
271,01/04/2024,SEBZE,MARUL LOLOROSSO,adet,5.0,30.0,17.5
272,01/04/2024,SEBZE,BİBER CİN,kg,4.0,50.0,27.0
273,01/04/2024,SEBZE,DOMATES CHERRY,kg,8.0,40.0,24.0
274,01/04/2024,SEBZE,TURP  FINDIK,adet,5.0,12.0,8.5
275,01/04/2024,SEBZE,DOMATES  BEEF,kg,10.0,38.0,24.0
276,01/04/2024,MEYVE,KIVI  ,kg,10.0,60.0,35.0
277,01/04/2024,İTHAL,ZENCEFİL,kg,60.0,180.0,120.0
278,01/04/2024,İTHAL,BİBER KALİFORNİYA,kg,30.0,65.0,47.5
279,01/04/2024,MEYVE,ÜZÜM  RED GLOBE,kg,10.0,60.0,35.0
280,01/04/2024,MEYVE,ELMA GSMİT,kg,10.0,33.0,21.5
281,01/04/2024,İTHAL,ELMA STARKING(İTHAL),kg,10.0,50.0,30.0
282,01/04/2024,SEBZE,SALATALIK  SİLOR,kg,8.0,35.0,21.5
283,01/04/2024,MEYVE,HÜNNAP,kg,11.0,40.0,25.5
284,01/04/2024,MEYVE,ELMA  ARJANTİN,kg,10.0,32.0,21.0
285,01/04/2024,İTHAL,SARIMSAK  İTHAL,kg,20.0,140.0,80.0
286,01/04/2024,MEYVE,PORTAKAL WASHINGTON,kg,7.0,18.0,12.5
287,01/04/2024,MEYVE,ÜZÜM  BEYAZ,kg,10.0,75.0,42.5
288,01/04/2024,SEBZE,BİBER  MEKSİKA,kg,8.0,50.0,29.0
289,01/04/2024,MEYVE,ÜZÜM  SİYAH,kg,23.0,60.0,41.5
290,01/04/2024,SEBZE,ALABAŞ,kg,4.0,15.0,9.5
291,01/04/2024,MEYVE,MANDALİNA SATSUMA,kg,5.0,17.0,11.0
292,01/04/2024,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,10.0,35.0,22.5
293,01/04/2024,SEBZE,DOMATES PEMBE,kg,10.0,40.0,25.0
294,01/04/2024,SEBZE,HAVUÇ(TAKOZ),kg,5.0,26.0,15.5
295,01/04/2024,MEYVE,LİMON LAMAS,kg,6.0,17.0,11.5
296,01/04/2024,SEBZE,PATATES TAZE,kg,5.0,20.0,12.5
297,01/04/2024,SEBZE,MANTAR (İSTİRİDYE),kg,30.0,92.0,61.0
