,URUN_ADI,ORTALAMA_FIYAT,YIL,SEZON
270,KARPUZ,0.43,2014,Summer
271,DOMATES  SALKIM,0.95,2014,Summer
272,KARPUZ,0.43,2014,Summer
273,DOMATES  SALKIM,0.95,2014,Summer
274,KARPUZ,0.43,2014,Summer
275,DOMATES  SALKIM,0.95,2014,Summer
276,KARPUZ,0.43,2014,Summer
277,DOMATES  SALKIM,0.85,2014,Summer
278,KARPUZ,0.43,2014,Summer
279,DOMATES  SALKIM,0.95,2014,Summer
280,KARPUZ,0.43,2014,Summer
281,DOMATES  SALKIM,0.95,2014,Summer
282,KARPUZ,0.4,2014,Summer
283,DOMATES  SALKIM,0.95,2014,Summer
284,KARPUZ,0.4,2014,Summer
285,DOMATES  SALKIM,0.85,2014,Summer
286,KARPUZ,0.4,2014,Summer
287,KARPUZ,0.38,2014,Summer
288,DOMATES  SALKIM,0.85,2014,Summer
289,KARPUZ,0.38,2014,Summer
290,DOMATES  SALKIM,0.95,2014,Summer
291,DOMATES  SALKIM,0.95,2014,Summer
292,KARPUZ,0.43,2014,Summer
293,DOMATES  SALKIM,0.95,2014,Summer
294,KARPUZ,0.43,2014,Summer
295,DOMATES  SALKIM,1.05,2014,Summer
296,KARPUZ,0.43,2014,Summer
297,KARPUZ,0.43,2014,Summer
298,DOMATES  SALKIM,1.05,2014,Summer
299,KARPUZ,0.4,2014,Summer
300,DOMATES  SALKIM,1.0,2014,Summer
301,DOMATES  SALKIM,1.0,2014,Summer
302,KARPUZ,0.4,2014,Summer
303,DOMATES  SALKIM,1.0,2014,Summer
304,KARPUZ,0.4,2014,Summer
305,DOMATES  SALKIM,0.95,2014,Summer
306,KARPUZ,0.43,2014,Summer
307,DOMATES  SALKIM,0.95,2014,Summer
308,KARPUZ,0.43,2014,Summer
309,DOMATES  SALKIM,0.95,2014,Summer
310,KARPUZ,0.43,2014,Summer
311,DOMATES  SALKIM,0.95,2014,Summer
312,KARPUZ,0.43,2014,Summer
313,DOMATES  SALKIM,0.95,2014,Summer
314,KARPUZ,0.43,2014,Summer
315,DOMATES  SALKIM,0.95,2014,Summer
316,KARPUZ,0.4,2014,Summer
317,DOMATES  SALKIM,0.95,2014,Summer
318,KARPUZ,0.38,2014,Summer
319,KARPUZ,0.38,2014,Summer
320,DOMATES  SALKIM,1.05,2014,Summer
321,DOMATES  SALKIM,1.15,2014,Summer
322,KARPUZ,0.4,2014,Summer
323,DOMATES  SALKIM,1.15,2014,Summer
324,SALATALIK  SİLOR,1.0,2014,Summer
325,KARPUZ,0.38,2014,Summer
326,DOMATES  SALKIM,1.15,2014,Summer
327,SALATALIK  SİLOR,1.0,2014,Summer
328,KARPUZ,0.38,2014,Summer
329,DOMATES  SALKIM,1.15,2014,Summer
330,KARPUZ,0.38,2014,Summer
331,SALATALIK  SİLOR,1.0,2014,Summer
332,DOMATES  SALKIM,1.15,2014,Summer
333,SALATALIK  SİLOR,1.0,2014,Summer
334,KARPUZ,0.38,2014,Summer
335,DOMATES  SALKIM,1.35,2014,Summer
336,SALATALIK  SİLOR,1.0,2014,Summer
337,KARPUZ,0.38,2014,Summer
338,KARPUZ,0.38,2014,Summer
339,DOMATES  SALKIM,1.7,2014,Summer
340,SALATALIK  SİLOR,1.0,2014,Summer
341,DOMATES  SALKIM,1.75,2014,Summer
342,SALATALIK  SİLOR,1.0,2014,Summer
343,KARPUZ,0.38,2014,Summer
344,SALATALIK  SİLOR,1.1,2014,Summer
345,KARPUZ,0.38,2014,Summer
346,DOMATES  SALKIM,1.85,2014,Summer
347,KARPUZ,0.38,2014,Summer
348,DOMATES  SALKIM,1.85,2014,Summer
349,SALATALIK  SİLOR,1.15,2014,Summer
350,DOMATES  SALKIM,1.85,2014,Summer
351,SALATALIK  SİLOR,1.35,2014,Summer
352,KARPUZ,0.3,2014,Summer
353,DOMATES  SALKIM,1.85,2014,Summer
354,SALATALIK  SİLOR,1.75,2014,Summer
355,KARPUZ,0.3,2014,Summer
356,DOMATES  SALKIM,1.75,2014,Summer
357,SALATALIK  SİLOR,1.6,2014,Summer
358,KARPUZ,0.3,2014,Summer
359,DOMATES  SALKIM,1.7,2014,Summer
360,SALATALIK  SİLOR,1.5,2014,Summer
361,KARPUZ,0.3,2014,Summer
362,DOMATES  SALKIM,1.65,2014,Summer
363,SALATALIK  SİLOR,1.5,2014,Summer
364,KARPUZ,0.28,2014,Summer
365,DOMATES  SALKIM,1.65,2014,Summer
366,SALATALIK  SİLOR,1.5,2014,Summer
367,KARPUZ,0.28,2014,Summer
368,KARPUZ,0.28,2014,Summer
369,SALATALIK  SİLOR,1.65,2014,Summer
370,DOMATES  SALKIM,1.75,2014,Summer
371,DOMATES  SALKIM,1.75,2014,Summer
372,SALATALIK  SİLOR,1.65,2014,Summer
373,KARPUZ,0.28,2014,Summer
374,DOMATES  SALKIM,1.75,2014,Summer
375,SALATALIK  SİLOR,1.5,2014,Summer
376,KARPUZ,0.28,2014,Summer
377,KARPUZ,0.28,2014,Summer
378,SALATALIK  SİLOR,1.5,2014,Summer
379,DOMATES  SALKIM,1.75,2014,Summer
380,DOMATES  SALKIM,1.75,2014,Summer
