,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
25123,2024-09-23T00:00:00,SEBZE,SOĞAN   KIRMIZI,kg,17.0,30.0,23.5
25124,2024-09-23T00:00:00,SEBZE,BİBER KIRMIZI,kg,20.0,50.0,35.0
25125,2024-09-23T00:00:00,SEBZE,LAHANA  BEYAZ,kg,8.0,15.0,11.5
25126,2024-09-23T00:00:00,SEBZE,PIRASA,kg,15.0,30.0,22.5
25127,2024-09-23T00:00:00,SEBZE,PAZI,adet,10.0,20.0,15.0
25128,2024-09-23T00:00:00,SEBZE,BİBER  KIL ACI,kg,25.0,45.0,35.0
25129,2024-09-23T00:00:00,SEBZE,DOMATES (DİĞER),kg,20.0,40.0,30.0
25130,2024-09-23T00:00:00,SEBZE,SALATALIK ,kg,15.0,30.0,22.5
25131,2024-09-23T00:00:00,SEBZE,DOMATES  SALKIM,kg,20.0,45.0,32.5
25132,2024-09-23T00:00:00,SEBZE,MARUL KIVIRCIK,adet,10.0,30.0,20.0
25133,2024-09-23T00:00:00,SEBZE,ACUR,kg,15.0,45.0,30.0
25134,2024-09-23T00:00:00,SEBZE,CİBEZ,kg,30.0,100.0,65.0
25135,2024-09-23T00:00:00,SEBZE,DENIZ BÖRÜLCESİ,adet,5.0,15.0,10.0
25136,2024-09-23T00:00:00,İTHAL,MANGO,adet,35.0,70.0,52.5
25137,2024-09-23T00:00:00,MEYVE,ARMUT  DEVECI,kg,20.0,43.0,31.5
25138,2024-09-23T00:00:00,MEYVE,AYVA,kg,35.0,60.0,47.5
25139,2024-09-23T00:00:00,MEYVE,ARMUT  S.MARIA,kg,26.0,50.0,38.0
25140,2024-09-23T00:00:00,MEYVE,ELMA  DİĞER,kg,15.0,35.0,25.0
25141,2024-09-23T00:00:00,MEYVE,CILEK,kg,50.0,110.0,80.0
25142,2024-09-23T00:00:00,MEYVE,ELMA  STARKING,kg,15.0,30.0,22.5
25143,2024-09-23T00:00:00,MEYVE,ERIK  MURDUM,kg,12.0,25.0,18.5
25144,2024-09-23T00:00:00,MEYVE,GREYFURT,kg,15.0,30.0,22.5
25145,2024-09-23T00:00:00,SEBZE,KAVUN DİĞER,kg,8.0,15.0,11.5
25146,2024-09-23T00:00:00,SEBZE,KARPUZ,kg,5.0,12.0,8.5
25147,2024-09-23T00:00:00,MEYVE,ELMA  GALA,kg,10.0,25.0,17.5
25148,2024-09-23T00:00:00,MEYVE,NAR,kg,20.0,40.0,30.0
25149,2024-09-23T00:00:00,MEYVE,KAYISI ,kg,30.0,50.0,40.0
25150,2024-09-23T00:00:00,MEYVE,MALTA,kg,20.0,30.0,25.0
25151,2024-09-23T00:00:00,MEYVE,MANDALİNA,kg,15.0,30.0,22.5
25152,2024-09-23T00:00:00,MEYVE,MUZ  YERLI,kg,35.0,55.0,45.0
25153,2024-09-23T00:00:00,MEYVE,ERİK DİĞER,kg,15.0,35.0,25.0
25154,2024-09-23T00:00:00,MEYVE,PORTAKAL  ,kg,15.0,35.0,25.0
25155,2024-09-23T00:00:00,MEYVE,LİMON DİĞER ,kg,20.0,40.0,30.0
25156,2024-09-23T00:00:00,SEBZE,Y.MAYDONOZ,bağ,3.0,6.0,4.5
25157,2024-09-23T00:00:00,SEBZE,Y.DEREOTU,bağ,3.0,8.0,5.5
25158,2024-09-23T00:00:00,SEBZE,MARUL LOLOROSSO,adet,10.0,30.0,20.0
25159,2024-09-23T00:00:00,SEBZE,DOMATES CHERRY,kg,25.0,42.0,33.5
25160,2024-09-23T00:00:00,SEBZE,DOMATES SALÇALIK(RİO),kg,5.0,10.0,7.5
25161,2024-09-23T00:00:00,SEBZE,DOMATES  BEEF,kg,15.0,32.0,23.5
25162,2024-09-23T00:00:00,MEYVE,KIVI  ,kg,60.0,110.0,85.0
25163,2024-09-23T00:00:00,İTHAL,ZENCEFİL,kg,80.0,150.0,115.0
25164,2024-09-23T00:00:00,İTHAL,BİBER KALİFORNİYA,kg,45.0,120.0,82.5
25165,2024-09-23T00:00:00,MEYVE,ÜZÜM  RED GLOBE,kg,25.0,55.0,40.0
25166,2024-09-23T00:00:00,MEYVE,ELMA GSMİT,kg,15.0,35.0,25.0
25167,2024-09-23T00:00:00,SEBZE,SALATALIK  SİLOR,kg,12.0,25.0,18.5
25168,2024-09-23T00:00:00,MEYVE,LİMON  YENİ (MAYER),kg,20.0,35.0,27.5
25169,2024-09-23T00:00:00,MEYVE,HÜNNAP,kg,20.0,50.0,35.0
25170,2024-09-23T00:00:00,MEYVE,ELMA  ARJANTİN,kg,15.0,30.0,22.5
25171,2024-09-23T00:00:00,MEYVE,ARMUT AKÇA,kg,20.0,40.0,30.0
25172,2024-09-23T00:00:00,SEBZE,SALATALIK   KORNİŞON,kg,15.0,40.0,27.5
25173,2024-09-23T00:00:00,MEYVE,ÜZÜM  BEYAZ,kg,30.0,55.0,42.5
25174,2024-09-23T00:00:00,MEYVE,ÜZÜM  SİYAH,kg,30.0,55.0,42.5
25175,2024-09-23T00:00:00,SEBZE,BİBER SALÇALIK,kg,10.0,20.0,15.0
25176,2024-09-23T00:00:00,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,20.0,50.0,35.0
25177,2024-09-23T00:00:00,SEBZE,DOMATES PEMBE,kg,20.0,45.0,32.5
25178,2024-09-23T00:00:00,SEBZE,HAVUÇ(TAKOZ),kg,10.0,20.0,15.0
25179,2024-09-23T00:00:00,MEYVE,LİMON LAMAS,kg,35.0,60.0,47.5
25180,2024-09-23T00:00:00,SEBZE,PATATES TAZE,kg,8.0,20.0,14.0
25181,2024-09-23T00:00:00,SEBZE,MANTAR (İSTİRİDYE),kg,65.0,120.0,92.5
25182,2024-09-23T00:00:00,SEBZE,BİBER KÖY(MAZO),kg,12.0,35.0,23.5
25183,2024-09-23T00:00:00,SEBZE,FASULYE CİNO,kg,30.0,65.0,47.5
25184,2024-09-23T00:00:00,SEBZE,DOMATES (KOKTEYL),kg,20.0,45.0,32.5
25185,2024-09-23T00:00:00,SEBZE,BİBER SİVRİ (DİĞER),kg,10.0,35.0,22.5
25186,2024-09-23T00:00:00,SEBZE,DOMATES AYAŞ,kg,10.0,18.0,14.0
25187,2024-09-23T00:00:00,SEBZE,HAVUÇ BEYPAZARI,kg,8.0,15.0,11.5
25188,2024-09-23T00:00:00,SEBZE,KAVUN KIRKAĞAÇ,kg,7.0,12.0,9.5
25189,2024-09-23T00:00:00,SEBZE,SALATALIK DİĞER,kg,8.0,20.0,14.0
25190,2024-09-23T00:00:00,SEBZE,SOĞAN MOR,kg,15.0,30.0,22.5
25191,2024-09-23T00:00:00,SEBZE,TURP DİĞER,kg,6.0,15.0,10.5
