_id,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
99,2024-01-02T00:00:00,SEBZE,KABAK  BAL,kg,5.0,18.0,11.5
100,2024-01-02T00:00:00,SEBZE,KEREVIZ,kg,10.0,20.0,15
101,2024-01-02T00:00:00,SEBZE,MARUL,adet,5.0,20.0,12.5
102,2024-01-02T00:00:00,SEBZE,PATLICAN  UZUN,kg,8.0,35.0,21.5
103,2024-01-02T00:00:00,SEBZE,PATLICAN TOPAN,kg,8.0,40.0,24
104,2024-01-02T00:00:00,SEBZE,PANCAR,kg,5.0,20.0,12.5
105,2024-01-02T00:00:00,SEBZE,SOĞAN   TAZE,kg,10.0,50.0,30
106,2024-01-02T00:00:00,SEBZE,SOĞAN   KURU,kg,4.0,15.0,9.5
107,2024-01-02T00:00:00,SEBZE,LAHANA  KIRMIZI,kg,8.0,10.0,9
108,2024-01-02T00:00:00,SEBZE,KARNABAHAR,kg,5.0,30.0,17.5
109,2024-01-02T00:00:00,SEBZE,TURP  KIRMIZI,kg,4.0,30.0,17
110,2024-01-02T00:00:00,SEBZE,SEMIZ OTU,adet,8.0,13.0,10.5
111,2024-01-03T00:00:00,MEYVE,NAR,kg,10.0,38.0,24
112,2024-01-03T00:00:00,MEYVE,KESTANE,kg,90.0,190.0,140
113,2024-01-03T00:00:00,MEYVE,MANDALİNA,kg,5.0,26.0,15.5
114,2024-01-03T00:00:00,MEYVE,MUZ  YERLI,kg,10.0,55.0,32.5
115,2024-01-03T00:00:00,MEYVE,PORTAKAL  ,kg,10.0,23.0,16.5
116,2024-01-03T00:00:00,MEYVE,PORTAKAL  VALENCIA,kg,8.0,20.0,14
117,2024-01-03T00:00:00,İTHAL,KIVI  İTHAL,kg,20.0,70.0,45
118,2024-01-03T00:00:00,MEYVE,LİMON DİĞER ,kg,8.0,14.0,11
119,2024-01-03T00:00:00,SEBZE,Y.MAYDONOZ,bağ,1.25,7.0,4.13
120,2024-01-03T00:00:00,SEBZE,Y.DEREOTU,bağ,1.25,8.0,4.63
121,2024-01-03T00:00:00,SEBZE,Y.ROKA,bağ,1.25,7.0,4.13
122,2024-01-03T00:00:00,SEBZE,Y.TERE,bağ,1.0,7.0,4
123,2024-01-03T00:00:00,SEBZE,Y.NANE,bağ,1.25,7.0,4.13
124,2024-01-03T00:00:00,MEYVE,ERİK  ANJELIKA,kg,10.0,60.0,35
125,2024-01-03T00:00:00,MEYVE,ÜZÜM  SULTANİYE,kg,10.0,50.0,30
126,2024-01-03T00:00:00,MEYVE,ELMA GSMIT(İYİ TARIM),kg,10.0,45.0,27.5
127,2024-01-03T00:00:00,MEYVE,ELMA  GOLDEN,kg,6.0,35.0,20.5
128,2024-01-03T00:00:00,SEBZE,KAVUN  SERA,kg,10.0,27.0,18.5
129,2024-01-03T00:00:00,İTHAL,AVAKADO,adet,10.0,25.0,17.5
130,2024-01-03T00:00:00,İTHAL,ANANAS,adet,20.0,61.0,40.5
131,2024-01-03T00:00:00,İTHAL,MUZ  ITHAL,kg,20.0,66.0,43
132,2024-01-03T00:00:00,İTHAL,HINDISTAN CEVIZI,adet,10.0,38.0,24
133,2024-01-03T00:00:00,MEYVE,PORTAKAL   FINIKE,kg,10.0,17.0,13.5
134,2024-01-03T00:00:00,SEBZE,BROKOLI,kg,5.0,30.0,17.5
135,2024-01-03T00:00:00,MEYVE,CENNET ELMASI,kg,10.0,70.0,40
136,2024-01-03T00:00:00,MEYVE,PORTAKAL  SIKMALIK,kg,8.0,12.0,10
137,2024-01-03T00:00:00,MEYVE,MUŞMULA,kg,7.0,35.0,21
138,2024-01-03T00:00:00,SEBZE,Y.REYHAN,adet,4.0,15.0,9.5
139,2024-01-03T00:00:00,SEBZE,BAKLA,kg,7.0,30.0,18.5
140,2024-01-03T00:00:00,SEBZE,BORULCE,kg,25.0,60.0,42.5
141,2024-01-03T00:00:00,SEBZE,BİBER  SİVRİ,kg,10.0,55.0,32.5
142,2024-01-03T00:00:00,SEBZE,BİBER  DOLMA,kg,8.0,40.0,24
143,2024-01-03T00:00:00,SEBZE,FASULYE   AYSE,kg,10.0,80.0,45
144,2024-01-03T00:00:00,SEBZE,FASULYE   CALI,kg,10.0,50.0,30
145,2024-01-03T00:00:00,SEBZE,BARBUNYA TAZE,kg,20.0,50.0,35
146,2024-01-03T00:00:00,SEBZE,HAVUÇ,kg,5.0,14.0,9.5
147,2024-01-03T00:00:00,SEBZE,ISPANAK,kg,5.0,25.0,15
148,2024-01-03T00:00:00,SEBZE,KABAK TAZE,kg,10.0,35.0,22.5
149,2024-01-03T00:00:00,SEBZE,KABAK  BAL,kg,5.0,13.0,9
150,2024-01-03T00:00:00,SEBZE,KEREVIZ,kg,10.0,21.0,15.5
151,2024-01-03T00:00:00,SEBZE,MARUL,adet,5.0,20.0,12.5
152,2024-01-03T00:00:00,SEBZE,PATLICAN  UZUN,kg,8.0,35.0,21.5
153,2024-01-03T00:00:00,SEBZE,PATLICAN TOPAN,kg,8.0,35.0,21.5
154,2024-01-03T00:00:00,SEBZE,PANCAR,kg,5.0,20.0,12.5
155,2024-01-03T00:00:00,SEBZE,SOĞAN   TAZE,kg,10.0,45.0,27.5
156,2024-01-03T00:00:00,SEBZE,SOĞAN   KURU,kg,4.0,15.0,9.5
157,2024-01-03T00:00:00,SEBZE,LAHANA  KIRMIZI,kg,8.0,20.0,14
158,2024-01-03T00:00:00,SEBZE,KARNABAHAR,kg,5.0,20.0,12.5
159,2024-01-03T00:00:00,SEBZE,TURP  KIRMIZI,kg,4.0,20.0,12
160,2024-01-03T00:00:00,SEBZE,SEMIZ OTU,adet,8.0,13.0,10.5
161,2024-01-03T00:00:00,SEBZE,YAPRAK  SALAMURA,kg,10.0,50.0,30
162,2024-01-03T00:00:00,SEBZE,SARIMSAK  KURU,kg,15.0,110.0,62.5
163,2024-01-03T00:00:00,SEBZE,PATATES  CALMA,kg,5.0,23.0,14
164,2024-01-03T00:00:00,SEBZE,BİBER ÇARLİSTON,kg,10.0,30.0,20
165,2024-01-03T00:00:00,SEBZE,MARUL AYSBERG,adet,5.0,30.0,17.5
166,2024-01-03T00:00:00,SEBZE,MANTAR,kg,15.0,40.0,27.5
167,2024-01-03T00:00:00,SEBZE,SOĞAN   KIRMIZI,kg,10.0,35.0,22.5
168,2024-01-03T00:00:00,SEBZE,BİBER KIRMIZI,kg,13.0,38.0,25.5
169,2024-01-03T00:00:00,SEBZE,LAHANA  BEYAZ,kg,5.0,23.0,14
170,2024-01-03T00:00:00,SEBZE,PIRASA,kg,4.0,15.0,9.5
171,2024-01-03T00:00:00,SEBZE,PAZI,adet,4.0,24.0,14
172,2024-01-03T00:00:00,SEBZE,BİBER  KIL ACI,kg,10.0,50.0,30
173,2024-01-03T00:00:00,SEBZE,LAHANA  BURUKSEL,kg,10.0,50.0,30
174,2024-01-03T00:00:00,SEBZE,DOMATES (DİĞER),kg,7.0,40.0,23.5
175,2024-01-03T00:00:00,SEBZE,SALATALIK ,kg,8.0,32.0,20
176,2024-01-03T00:00:00,SEBZE,DOMATES  SALKIM,kg,12.0,32.0,22
177,2024-01-03T00:00:00,SEBZE,TURP  SIYAH,kg,3.0,20.0,11.5
178,2024-01-03T00:00:00,SEBZE,MARUL KIVIRCIK,adet,5.0,30.0,17.5
179,2024-01-03T00:00:00,SEBZE,YERELMASI,kg,5.0,16.0,10.5
180,2024-01-03T00:00:00,SEBZE,DENIZ BÖRÜLCESİ,adet,4.0,30.0,17
181,2024-01-03T00:00:00,İTHAL,MANGO,adet,10.0,50.0,30
182,2024-01-03T00:00:00,MEYVE,ARMUT  DEVECI,kg,10.0,40.0,25
183,2024-01-03T00:00:00,SEBZE,MARUL LOLOROSSO,adet,5.0,30.0,17.5
184,2024-01-03T00:00:00,SEBZE,BİBER CİN,kg,4.0,50.0,27
